genres,runtime,certificate,title,rate,year,votes,imgurl,desc
"Action, Crime, Fantasy",117,TV-MA,Bright,6.6,I) (,67325,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyNzk5NDg1Nl5BMl5BanBnXkFtZTgwNTM5MDQxNDM@._V1_UX67_CR0,0,67,98_AL_.jpg",Set in a world where mystical creatures live side by side with humans. A human cop is forced to work with an Orc to find a weapon everyone is prepared to kill for.
"Action, Adventure, Fantasy",152,PG-13,Star Wars: The Last Jedi,7.6,2017,249010,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ1MzcxNjg4N15BMl5BanBnXkFtZTgwNzgwMjY4MzI@._V1_UX67_CR0,0,67,98_AL_.jpg","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order."
"Action, Adventure, Comedy",119,PG-13,Jumanji: Welcome to the Jungle,7.2,2017,26043,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyNDQ1MDc5OV5BMl5BanBnXkFtZTgwOTcyNzI2MzI@._V1_UX67_CR0,0,67,98_AL_.jpg","Four teenagers discover an old video game console and are literally drawn into the game's jungle setting, becoming the adult avatars they choose."
"Biography, Drama, Musical",105,PG,The Greatest Showman,8,2017,18534,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjQ0ZWJkYjMtYjJmYS00MjJiLTg3NTYtMmIzN2E2Y2YwZmUyXkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_UX67_CR0,0,67,98_AL_.jpg","Inspired by the imagination of P.T. Barnum, The Greatest Showman is an original musical that celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation."
"Drama, Sci-Fi, Thriller",60,TV-MA,Black Mirror,8.9,2011,177515,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTEwYzNiMGUtNzRlYS00MTMzLTliNzgtOGUxZGZiNThlNWYwXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UX67_CR0,0,67,98_AL_.jpg","An anthology series exploring a twisted, high-tech world where humanity's greatest innovations and darkest instincts collide."
"Action, Drama, History",44,TV-14,Vikings,8.6,2013,271768,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDYyNzk1NzYwOF5BMl5BanBnXkFtZTgwMTQ0Nzc4MzI@._V1_UY98_CR2,0,67,98_AL_.jpg","The world of the Vikings is brought to life through the journey of Ragnar Lothbrok, the first Viking to emerge from Norse legend and onto the pages of history - a man on the edge of myth."
"Action, Adventure, Drama",57,TV-MA,Game of Thrones,9.5,2011,1273619,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3NTQ1NDg1Ml5BMl5BanBnXkFtZTgwNzY2NDA0MjI@._V1_UX67_CR0,0,67,98_AL_.jpg","Nine noble families fight for control over the mythical lands of Westeros, while a forgotten race returns after being dormant for thousands of years."
"Action, Adventure, Fantasy",120,PG-13,Justice League,7,2017,160176,"https://images-na.ssl-images-amazon.com/images/M/MV5BYWVhZjZkYTItOGIwYS00NmRkLWJlYjctMWM0ZjFmMDU4ZjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy."
"Drama, Fantasy, Horror",51,TV-14,Stranger Things,9,2016,428788,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjUwMDgzOTg3Nl5BMl5BanBnXkFtZTgwNTI4MDk5MzI@._V1_UX67_CR0,0,67,98_AL_.jpg","When a young boy disappears, his mother, a police chief, and his friends must confront terrifying forces in order to get him back."
"Crime, Drama",60,TV-MA,Peaky Blinders,8.8,2013,107941,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxODYzNTQzOV5BMl5BanBnXkFtZTgwMTI2MDYwMDE@._V1_UY98_CR0,0,67,98_AL_.jpg","A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world."
